球员	年龄	球队	号码	位置	出场	首发	出场时间	进球	助攻	传球	过人	抢断	越位	犯规	红牌	黄牌	射门	射正	射门成功率	头球进球	左脚进球	右脚进球	直接任意球进球	点球	赢得点球机会	拦截	解围	头球解围	后场解围	头球争顶成功	头球争顶失败	乌龙球	下一年进球
巴里	32	曼城	18	中场	31	27	2397	1	2	1825	11	64	2	38	0	6	22	6	0.045454545	1	0	0	0	0	0	42	49	29	26	53	0	1	3
奥斯曼	32	埃弗顿	21	中场	36	36	3184	5	2	1787	46	85	0	44	0	9	76	24	0.065789474	1	2	2	0	0	0	82	83	51	36	58	0	0	3
霍尔特	32	诺维奇	9	前锋	34	28	2570	8	3	790	20	28	44	82	0	8	53	19	0.150943396	1	1	6	0	1	1	12	40	19	23	79	0	0	0
奥谢	32	桑德兰	16	后卫	34	34	2993	2	0	964	4	50	1	26	0	3	13	3	0.153846154	0	1	1	0	0	1	69	271	160	141	100	0	0	0
奎利亚尔	32	桑德兰	24	后卫	26	26	2258	1	2	691	7	76	1	13	0	5	12	5	0.083333333	1	0	0	0	0	0	48	239	134	144	76	0	1	0
贝尔巴托夫	32	富勒姆	9	前锋	33	32	2847	15	3	1463	67	32	36	51	0	1	81	35	0.185185185	3	0	12	0	4	0	34	44	24	19	76	0	0	0
彼得里奇	32	富勒姆	10	前锋	23	9	876	5	1	258	9	10	6	17	0	0	35	13	0.142857143	1	4	0	0	1	0	8	9	5	2	14	0	0	0
诺兰	31	西汉姆联	4	中场	35	35	2990	10	2	1018	9	59	16	64	0	6	78	32	0.128205128	1	3	6	0	0	0	31	44	20	20	18	0	0	7
阿尔特塔	31	阿森纳	8	中场	34	34	2984	6	3	2750	24	108	1	74	0	6	19	8	0.315789474	0	1	5	0	5	0	97	46	21	24	35	0	0	2
迪福	31	托特纳姆热刺	18	前锋	34	27	2412	11	3	437	28	16	17	24	0	4	108	41	0.101851852	0	3	8	0	0	0	10	3	1	1	6	0	0	1
兰吉尔	31	斯旺西	22	后卫	32	30	2734	3	1	1842	32	85	3	33	0	7	27	16	0.111111111	0	1	2	0	0	0	87	144	71	75	39	0	0	0
莱斯科特	31	曼城	6	后卫	25	17	1543	1	0	823	4	22	2	9	0	3	3	1	0.333333333	1	0	0	0	0	0	26	124	62	65	38	0	0	0
贾杰尔卡	31	埃弗顿	6	后卫	36	36	3155	2	1	1468	4	63	0	12	0	1	26	8	0.076923077	2	0	0	0	0	0	82	250	134	125	87	0	0	0
皮纳尔	31	埃弗顿	22	中场	35	35	3066	6	6	1623	58	67	4	45	2	5	62	19	0.096774194	1	1	3	0	0	0	70	14	9	7	17	0	0	1
霍拉汉	31	诺维奇	14	中场	33	28	2430	3	3	1124	65	45	10	13	0	3	31	12	0.096774194	2	1	0	0	0	0	30	4	1	2	6	0	0	1
梅勒	31	桑德兰	18	中场	3	0	63	0	0	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	2	1	0	0	0
西德威尔	31	富勒姆	4	中场	28	24	2104	4	2	1091	22	105	0	56	2	7	39	14	0.102564103	0	1	3	0	1	0	75	64	39	26	31	0	0	0
科林斯	30	西汉姆联	6	后卫	29	29	2496	0	1	706	3	53	1	23	0	9	19	1	0	0	0	0	0	0	0	48	316	179	170	84	0	0	1
科尔	30	西汉姆联	9	前锋	27	14	1360	2	1	427	11	2	9	40	1	2	36	16	0.055555556	1	0	1	0	0	0	3	28	19	13	105	0	0	0
冯特	30	南安普顿	6	后卫	27	25	2312	2	0	1214	4	40	0	21	0	5	16	5	0.125	2	0	0	0	0	0	39	238	116	137	70	0	0	3
彭南特	30	斯洛克城	16	中场	1	1	66	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1
沃尔特斯	30	斯洛克城	19	前锋	38	38	3310	8	1	1011	57	36	20	44	0	4	59	20	0.13559322	1	0	7	0	3	2	25	48	19	23	126	0	2	5
萨尼亚	30	阿森纳	3	后卫	25	25	2240	0	0	1497	25	56	1	21	0	2	3	1	0	0	0	0	0	0	0	32	90	61	51	75	0	0	1
范佩西	30	曼联	10	前锋	27	22	3033	26	8	1022	40	24	46	37	0	6	140	65	0.185714286	2	18	6	1	3	3	14	44	33	19	50	0	0	12
邓普西	30	托特纳姆热刺	23	中场	29	22	1998	7	4	764	28	25	11	27	0	4	70	26	0.1	0	2	5	0	0	0	21	29	16	16	58	0	0	0
亚亚·图雷	30	曼城	42	中场	32	32	2829	7	5	2524	52	37	1	43	0	6	69	23	0.101449275	0	3	4	0	0	0	28	19	8	9	26	0	0	20
海廷加	30	埃弗顿	5	后卫	26	17	1602	0	0	610	0	19	0	18	0	5	9	2	0	0	0	0	0	0	0	38	93	51	58	24	0	0	1
特纳	30	诺维奇	4	后卫	26	25	2225	3	0	569	1	42	1	24	0	6	10	4	0.3	2	0	1	0	0	0	44	185	79	120	39	0	0	0
沃恩	30	桑德兰	15	中场	24	6	717	1	0	390	6	31	0	14	1	1	8	3	0.125	0	1	0	0	0	0	21	15	3	6	7	0	1	0
里特	30	富勒姆	20	后卫	35	35	3044	1	4	1577	22	57	0	21	0	4	7	2	0.142857143	0	1	0	0	0	0	56	123	44	62	21	0	0	0
本特	29	阿斯顿维拉	9	前锋	16	8	805	3	0	177	0	1	9	6	0	1	19	7	0.157894737	0	1	2	0	0	0	8	13	6	4	28	0	0	3
胡特	29	斯洛克城	4	后卫	35	35	3150	1	0	684	8	66	1	46	0	5	32	10	0.03125	1	0	0	0	0	0	48	279	128	196	99	0	0	0
伊万诺维奇	29	切尔西	2	后卫	34	33	2944	5	1	1327	19	60	0	23	1	4	25	7	0.2	1	0	4	0	0	0	49	196	136	116	76	0	0	3
托雷斯	29	切尔西	9	前锋	36	28	2570	8	6	656	93	32	29	52	1	4	68	29	0.117647059	2	0	6	0	1	1	10	32	26	17	76	0	0	5
默特萨克	29	阿森纳	4	后卫	34	33	3028	3	0	1702	2	34	0	12	1	3	17	6	0.176470588	3	0	0	0	0	0	52	163	90	85	88	0	0	2
卡索拉	29	阿森纳	12	中场	38	37	3308	12	11	2471	131	71	1	16	0	1	115	40	0.104347826	1	7	4	0	0	1	69	11	3	4	7	0	0	4
阿德巴约	29	托特纳姆热刺	10	前锋	25	18	1597	5	1	615	45	18	21	31	1	3	42	19	0.119047619	1	1	3	0	0	0	3	15	13	7	38	0	0	11
威廉斯	29	斯旺西	2	后卫	37	37	3240	0	0	1916	2	43	3	39	0	7	24	4	0	0	0	0	0	0	0	110	381	195	208	79	0	0	1
席尔瓦	29	曼城	21	中场	32	29	2521	4	8	1825	50	33	4	27	0	2	53	20	0.075471698	0	3	1	0	0	1	27	17	5	10	11	0	0	7
阿格尔	29	利物浦	5	后卫	35	35	3100	3	0	1744	14	36	1	25	1	3	38	10	0.078947368	3	0	0	0	0	0	63	196	115	92	115	0	0	2
唐宁	29	利物浦	19	中场	29	25	2194	3	5	1055	39	23	12	7	0	0	51	8	0.058823529	1	1	1	0	0	0	16	23	7	10	9	0	0	0
贝恩斯	29	埃弗顿	3	后卫	38	38	3420	5	5	1663	60	92	1	30	0	4	36	12	0.138888889	0	5	0	1	2	0	57	76	36	40	11	0	2	5
惠塔克	29	诺维奇	16	后卫	13	12	1046	1	0	425	11	24	0	8	0	0	6	2	0.166666667	0	1	0	0	0	0	19	57	33	34	12	0	0	0
拉尔亚纳	28	南安普顿	20	中场	30	26	2240	3	5	971	54	72	9	25	0	2	51	16	0.058823529	0	1	2	0	0	0	65	24	8	13	20	0	0	9
亚当	28	斯洛克城	26	中场	27	22	1774	3	2	759	27	33	1	52	1	7	53	12	0.056603774	0	3	0	0	0	0	21	11	5	5	23	0	0	7
德布奇	28	纽卡斯尔	2	后卫	14	14	1168	0	0	450	14	44	5	27	1	2	6	0	0	0	0	0	0	0	0	22	90	43	40	51	0	0	1
西塞	28	纽卡斯尔	9	前锋	36	35	3005	8	2	836	28	37	45	61	0	6	86	31	0.093023256	1	3	3	0	0	1	26	23	5	9	45	0	0	2
登巴.巴	28	纽卡斯尔	19	前锋	34	30	2538	15	0	680	32	7	15	32	0	0	135	54	0.111111111	3	2	10	1	1	1	8	21	12	8	76	0	1	5
卡希尔	28	切尔西	24	后卫	26	24	2216	2	2	1103	9	28	0	14	0	1	16	7	0.125	0	0	2	0	0	0	27	168	109	107	77	0	0	1
波多尔斯基	28	阿森纳	10	前锋	33	25	1999	11	9	941	25	32	9	32	0	1	54	20	0.203703704	2	9	0	2	0	0	15	17	10	9	25	0	0	8
鲁尼	28	曼联	10	前锋	21	12	2019	12	10	1236	31	19	2	27	0	7	86	35	0.139534884	1	2	9	0	1	0	14	25	17	12	15	0	1	17
阿什利.扬	28	曼联	18	中场	27	13	1372	0	3	671	20	23	3	14	0	1	28	10	0	0	0	0	0	0	0	16	12	7	8	11	0	0	2
巴勃罗	28	斯旺西	19	中场	30	27	2114	3	6	1298	88	28	8	14	0	3	48	10	0.0625	0	1	2	0	0	0	41	15	4	6	5	0	0	2
蒂恩达利	28	斯旺西	26	后卫	14	11	922	1	0	560	11	44	3	16	0	3	6	4	0.166666667	0	1	0	0	0	0	32	34	15	18	9	0	0	0
萨巴莱塔	28	曼城	5	后卫	30	29	2652	2	2	1308	10	112	4	45	0	7	21	9	0.095238095	0	1	1	0	0	0	56	110	69	61	46	0	0	1
科拉罗夫	28	曼城	13	后卫	20	11	1050	1	2	456	6	33	4	19	0	4	23	4	0.043478261	0	1	0	1	0	0	22	39	19	30	20	0	0	1
耶拉维奇	28	埃弗顿	7	前锋	37	26	2427	7	2	488	36	15	46	42	0	4	85	32	0.082352941	2	3	2	0	0	0	5	30	24	6	57	0	0	0
巴尔兹利	28	桑德兰	2	后卫	18	11	986	1	0	442	6	24	0	14	0	5	8	1	0.125	0	0	1	0	0	0	9	44	26	30	17	0	0	0
拉尔松	28	桑德兰	7	中场	38	36	2999	1	3	1263	16	79	3	52	0	6	30	8	0.033333333	0	1	0	0	0	0	50	47	17	24	16	0	0	0
鲁伊斯	28	富勒姆	11	前锋	29	26	2384	5	7	1327	70	48	2	14	0	2	53	20	0.094339623	1	3	1	1	0	1	51	30	16	15	43	0	0	0
森德罗斯	28	富勒姆	14	后卫	21	18	1681	0	0	671	7	25	0	17	0	6	2	1	0	0	0	0	0	0	0	43	130	67	74	29	0	0	0
罗达列加	28	富勒姆	20	前锋	29	14	1510	3	1	480	16	5	4	19	0	0	60	20	0.05	3	0	0	0	0	1	10	12	8	4	39	0	0	0
贾维斯	27	西汉姆联	17	中场	32	29	2565	2	0	591	46	22	6	8	0	0	25	11	0.08	1	0	1	0	0	0	16	29	8	14	18	0	0	0
奥布莱恩	27	西汉姆联	28	后卫	33	32	2724	2	4	936	23	51	0	27	0	6	9	3	0.222222222	0	0	2	0	0	0	30	165	86	92	39	0	1	0
爱尔兰	27	阿斯顿维拉	7	中场	13	9	781	0	1	360	2	30	2	20	0	1	11	3	0	0	0	0	0	0	0	12	8	1	4	2	0	0	2
阿邦拉霍	27	阿斯顿维拉	11	前锋	28	24	2190	9	3	602	55	24	11	33	0	4	48	16	0.1875	2	4	3	0	0	1	13	14	5	4	17	0	0	4
卡巴耶	27	纽卡斯尔	4	中场	26	25	2122	6	2	1172	15	80	0	41	0	8	60	18	0.1	0	0	6	2	1	0	55	37	5	18	6	0	0	7
古弗兰	27	纽卡斯尔	9	前锋	15	14	1060	3	0	310	22	21	5	12	0	1	27	11	0.111111111	1	0	2	0	0	0	6	15	6	7	24	0	0	6
马尔沃	27	纽卡斯尔	22	中场	22	10	991	1	4	497	38	10	0	3	0	0	19	6	0.052631579	0	1	0	0	0	0	6	8	2	3	2	0	0	0
蒙雷亚尔	27	阿森纳	15	后卫	10	9	792	1	1	432	7	17	0	6	0	2	6	1	0.166666667	0	1	0	0	0	0	25	24	16	15	11	0	0	0
吉鲁	27	阿森纳	17	前锋	34	24	2323	11	3	697	44	19	20	33	1	3	107	38	0.102803738	4	6	1	0	0	1	14	44	36	16	131	0	0	16
纳尼	27	曼联	17	中场	19	17	629	1	2	267	17	10	2	7	0	1	19	4	0.052631579	0	1	0	0	0	0	10	4	4	1	4	0	0	0
卡布尔	27	托特纳姆热刺	4	后卫	1	1	90	0	0	29	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	10	6	3	2	0	0	1
赫德尔斯通	27	托特纳姆热刺	6	中场	20	11	1028	0	4	663	6	24	0	16	1	3	19	5	0	0	0	0	0	0	0	20	41	23	16	15	0	0	0
孔帕尼	27	曼城	4	后卫	26	26	2239	1	0	1298	8	54	0	34	1	3	15	2	0.066666667	0	0	1	0	0	0	44	177	94	83	40	0	1	4
米尔纳	27	曼城	7	中场	26	19	1720	4	3	914	27	37	3	33	1	1	30	10	0.133333333	0	1	3	1	0	0	22	21	7	10	34	0	0	1
哲科	27	曼城	10	前锋	32	16	1815	14	3	679	31	10	7	18	0	4	94	40	0.14893617	2	3	9	0	0	2	6	17	14	8	87	0	0	16
恩里克	27	利物浦	3	后卫	29	25	2257	2	4	1304	56	72	6	14	0	1	22	8	0.090909091	0	0	2	0	0	0	35	49	15	28	13	0	0	0
奈史密斯	27	埃弗顿	14	中场	31	13	1278	4	1	450	9	28	3	26	0	0	20	9	0.2	0	2	2	0	0	0	10	21	13	7	32	0	0	5
特泰	27	诺维奇	6	中场	27	21	1902	0	0	1071	16	55	0	25	0	4	21	2	0	0	0	0	0	0	0	61	49	15	24	31	0	0	1
巴松	27	诺维奇	21	后卫	34	34	2962	3	2	856	10	21	4	27	0	3	15	4	0.2	2	1	0	0	0	0	54	216	79	102	101	0	0	0
加德纳	27	桑德兰	8	中场	33	32	2834	6	2	1274	27	101	3	51	1	10	55	15	0.109090909	0	1	5	1	4	0	60	98	55	43	41	0	0	0
德贾加	27	富勒姆	24	中场	21	13	1193	0	1	469	49	39	5	26	0	3	13	2	0	0	0	0	0	0	2	32	5	3	4	17	0	0	0
迈加	26	西汉姆联	15	中场	17	2	410	2	2	153	10	8	4	10	0	2	14	3	0.142857143	0	2	0	0	0	0	1	3	0	2	11	0	0	1
诺布尔	26	西汉姆联	16	中场	28	25	2286	4	3	1446	18	100	0	35	0	7	14	5	0.285714286	0	0	4	1	3	0	50	30	9	14	5	0	0	3
迪亚梅	26	西汉姆联	21	中场	33	31	2609	3	0	763	132	114	1	54	0	3	54	12	0.055555556	0	1	2	0	0	0	38	22	12	8	24	0	0	4
肖克罗斯	26	斯洛克城	17	后卫	37	37	3330	1	1	905	5	56	5	35	0	9	17	3	0.058823529	0	0	1	0	0	0	46	256	138	162	96	0	1	1
本阿尔法	26	纽卡斯尔	10	中场	19	16	1462	4	2	533	138	18	1	16	0	1	44	12	0.090909091	0	3	1	0	2	2	2	8	2	1	5	0	0	3
路易斯	26	切尔西	4	后卫	30	29	2634	2	2	1515	37	44	0	41	0	8	56	14	0.035714286	0	0	2	1	0	0	72	135	93	87	59	0	1	0
米克尔	26	切尔西	12	中场	22	19	1628	0	0	1165	14	51	0	35	0	3	11	0	0	0	0	0	0	0	0	32	33	20	17	29	0	0	1
列侬	26	托特纳姆热刺	7	中场	34	33	2838	4	7	879	95	41	6	14	0	1	29	8	0.137931034	0	1	3	0	0	0	28	15	4	8	6	0	0	1
登贝莱	26	托特纳姆热刺	30	中场	32	28	2389	1	3	1588	94	90	0	53	0	4	25	8	0.04	0	1	0	0	0	0	43	20	13	6	28	0	0	1
德古兹曼	26	斯旺西	8	中场	37	33	2768	5	6	2007	25	45	1	33	0	6	54	16	0.092592593	0	0	5	1	0	0	50	22	7	7	8	0	1	4
奇科	26	斯旺西	12	后卫	26	26	2151	0	0	1478	11	85	0	37	1	6	21	3	0	0	0	0	0	0	0	91	226	131	124	65	0	0	2
代尔	26	斯旺西	12	中场	37	25	2218	3	4	1217	95	47	2	29	1	3	51	17	0.058823529	0	1	2	0	0	0	27	10	3	2	3	0	0	6
哈维.加西亚	26	曼城	6	中场	23	17	1495	2	0	915	3	25	0	33	0	5	16	5	0.125	2	0	0	0	0	0	34	58	22	29	49	0	0	0
纳斯里	26	曼城	19	中场	28	22	1804	2	7	1192	53	18	4	8	1	3	30	10	0.066666667	0	0	2	0	0	0	12	7	2	4	3	0	0	7
苏亚雷斯	26	利物浦	7	前锋	33	33	2955	23	5	1203	255	42	39	48	0	10	187	72	0.122994652	3	5	15	2	0	5	18	3	0	1	12	0	0	31
吉布森	26	埃弗顿	4	中场	23	22	1807	1	2	1140	11	44	0	18	1	4	36	4	0.027777778	0	0	1	0	0	0	35	37	15	18	10	0	0	0
米拉拉斯	26	埃弗顿	14	中场	27	23	1831	6	3	584	84	35	15	30	0	3	71	28	0.084507042	1	1	4	0	0	1	16	6	1	5	3	0	0	8
穆罕迈迪	26	桑德兰	27	中场	2	0	22	0	0	10	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	0
雷德	25	西汉姆联	2	后卫	36	36	3145	1	0	861	1	70	0	41	0	8	15	7	0.066666667	1	0	0	0	0	1	73	321	191	178	86	0	0	1
科利森	25	西汉姆联	10	中场	17	5	627	2	0	232	10	7	1	10	0	2	11	7	0.181818182	0	1	1	0	0	0	4	17	7	7	3	0	0	0
恩松齐	25	斯洛克城	15	中场	35	35	3109	1	0	1546	29	70	1	40	1	9	18	7	0.055555556	1	0	0	0	0	0	32	36	23	24	109	0	0	2
马塔	25	切尔西	10	前锋	35	31	2744	12	12	1838	52	25	19	15	0	3	70	24	0.171428571	0	11	1	2	0	2	21	2	0	1	2	0	0	6
埃文斯	25	曼联	6	后卫	16	9	1903	3	1	1124	2	41	0	14	0	2	10	8	0.3	2	0	1	0	0	1	47	190	123	96	53	0	2	0
安德森	25	曼联	8	中场	38	35	800	1	1	642	18	18	1	8	0	1	10	5	0.1	0	1	0	0	0	0	6	8	2	4	9	0	0	0
埃尔南德斯	25	曼联	14	中场	19	18	872	10	3	268	12	7	19	13	0	1	44	23	0.227272727	1	2	7	0	0	0	6	3	2	1	5	0	0	4
巴伦西亚	25	曼联	25	中场	0	0	2185	1	5	1078	87	57	10	37	0	6	17	2	0.058823529	0	0	1	0	0	1	24	20	11	8	30	0	0	2
桑德罗	25	托特纳姆热刺	30	中场	22	22	1779	1	2	931	26	72	0	34	0	4	25	6	0.04	0	0	1	0	0	0	80	78	31	35	19	0	0	1
阿圭罗	25	曼城	16	前锋	30	22	1941	12	2	699	106	26	14	27	0	2	86	36	0.139534884	0	3	9	0	2	0	9	1	0	0	5	0	0	17
费莱尼	25	埃弗顿	25	中场	31	31	2785	11	5	1627	41	82	13	80	0	8	90	35	0.122222222	5	1	5	0	0	0	37	65	48	25	151	0	0	0
卡特莫尔	25	桑德兰	6	中场	10	10	666	0	0	292	2	21	1	15	0	2	2	0	0	0	0	0	0	0	0	26	9	6	3	7	0	0	0
卡卡尼克利奇	25	富勒姆	37	中场	20	16	1261	4	2	285	59	10	2	4	0	0	25	10	0.16	1	1	2	0	0	1	19	9	4	5	4	0	0	0
汤姆金斯	24	西汉姆联	5	后卫	26	18	1728	1	1	634	1	33	2	10	0	5	20	5	0.05	1	0	0	0	0	0	29	183	98	105	71	0	0	0
卡洛尔	24	西汉姆联	9	前锋	26	22	1957	7	4	699	18	17	10	41	0	6	81	23	0.086419753	3	2	2	1	1	1	13	60	44	30	227	0	0	2
德尔夫	24	阿斯顿维拉	16	中场	24	19	1703	0	0	1031	40	56	0	26	0	7	17	2	0	0	0	0	0	0	0	68	34	8	12	11	0	1	3
克拉克	24	阿斯顿维拉	21	后卫	29	28	2498	1	0	788	3	38	0	32	1	6	13	4	0.076923077	1	0	0	0	0	0	68	328	172	173	76	0	0	0
施耐德林	24	南安普顿	4	中场	36	36	3210	5	0	1874	18	146	1	65	0	9	29	6	0.172413793	2	1	2	0	0	0	139	79	35	28	58	0	0	2
阿尼塔	24	纽卡斯尔	5	中场	25	17	1730	0	1	811	14	36	2	20	0	2	14	2	0	0	0	0	0	0	0	20	31	9	19	4	0	0	1
西索科	24	纽卡斯尔	22	中场	12	12	1069	3	2	467	59	13	2	14	0	2	24	7	0.125	0	0	3	0	0	0	6	7	5	2	28	0	0	3
沃尔科特	24	阿森纳	14	中场	32	24	2282	14	10	531	108	16	26	10	0	3	87	39	0.16091954	0	3	11	0	0	1	11	5	3	0	7	0	0	5
斯马林	24	曼联	12	后卫	22	9	1013	0	0	453	3	15	1	6	0	1	8	1	0	0	0	0	0	0	0	16	82	58	41	30	0	0	1
克莱弗利	24	曼联	23	中场	19	17	1456	2	2	1077	14	37	0	8	0	1	19	5	0.105263158	0	0	2	0	0	0	16	21	10	9	4	0	0	1
香川真司	24	曼联	23	中场	3	2	1234	6	3	833	19	17	2	9	0	1	21	10	0.285714286	1	1	4	0	0	0	11	3	2	0	4	0	0	0
西古尔德松	24	托特纳姆热刺	42	中场	32	12	1218	3	4	432	28	27	1	16	0	0	53	17	0.056603774	0	0	3	0	0	0	35	13	4	4	6	0	0	5
斯图里奇	24	利物浦	23	前锋	21	12	1253	11	3	437	48	5	15	6	0	2	70	33	0.157142857	0	8	3	0	1	0	11	0	0	0	2	0	0	21
科尔曼	24	埃弗顿	23	中场	26	24	2163	0	5	758	55	62	2	18	0	4	10	1	0	0	0	0	0	0	0	50	61	38	27	15	0	0	6
科尔拜克	24	桑德兰	14	中场	35	30	2812	0	0	1114	18	88	0	35	0	4	11	3	0	0	0	0	0	0	0	69	55	29	26	17	0	0	0
本特克	23	阿斯顿维拉	25	中场	34	32	2823	19	4	1142	49	18	50	66	1	7	104	43	0.182692308	4	3	12	0	3	0	9	30	20	13	269	0	0	10
拉姆塞	23	阿森纳	16	中场	36	21	2086	1	2	1934	71	71	0	48	0	5	46	12	0.02173913	0	0	1	0	0	0	44	26	13	9	14	0	0	10
韦尔贝克	23	曼联	19	前锋	28	27	1223	1	4	512	38	32	2	13	0	1	39	9	0.025641026	1	0	0	0	0	1	17	12	5	8	20	0	0	9
拉斐尔	23	曼联	21	后卫	16	8	2317	3	3	1211	30	86	2	36	1	6	21	5	0.142857143	1	1	1	0	0	0	57	127	80	73	37	0	0	0
沃尔克	23	托特纳姆热刺	28	后卫	36	36	3160	0	4	1599	57	83	2	28	0	5	31	5	0	0	0	0	0	0	0	87	184	101	82	49	0	0	1
亨德森	23	利物浦	14	中场	30	16	1527	5	4	990	13	37	2	21	0	3	33	11	0.151515152	0	2	3	1	0	0	32	13	7	5	8	0	0	4
艾伦	23	利物浦	24	中场	27	21	1919	0	0	1396	15	54	1	28	0	2	9	0	0	0	0	0	0	0	0	49	18	6	8	10	0	0	1
罗斯	23	桑德兰	25	后卫	27	25	2222	1	1	971	57	63	0	30	0	6	15	3	0.066666667	0	1	0	0	0	0	73	64	40	29	28	0	0	0
克莱因	22	南安普顿	2	后卫	34	34	3021	1	3	1329	51	96	0	19	0	2	8	2	0.125	0	0	1	0	0	0	72	118	32	73	9	0	1	0
桑顿	22	纽卡斯尔	3	后卫	31	31	2645	1	2	1046	91	68	3	23	0	4	23	11	0.043478261	0	0	1	0	0	0	48	140	79	66	23	0	0	0
阿扎尔	22	切尔西	10	中场	34	31	2636	9	11	1523	128	28	5	25	0	2	63	26	0.142857143	1	4	4	0	2	2	37	6	5	3	6	0	0	14
奥斯卡	22	切尔西	11	中场	34	24	2293	4	5	1351	84	86	3	33	0	2	60	20	0.066666667	2	0	2	0	1	1	30	32	19	11	10	0	0	8
摩西	22	切尔西	11	中场	24	13	1214	1	1	446	51	22	6	13	0	0	28	6	0.035714286	1	0	0	0	0	0	10	7	4	1	9	0	0	1
罗德维尔	22	曼城	26	中场	11	6	496	2	0	262	3	8	0	11	0	2	14	6	0.142857143	0	2	0	0	0	0	7	12	3	3	12	0	0	0
博里尼	22	利物浦	31	前锋	13	5	504	1	0	175	8	12	1	6	0	1	17	5	0.058823529	0	0	1	0	0	0	7	2	1	2	1	0	0	7
威尔希尔	21	阿森纳	19	中场	25	20	1696	0	3	1192	96	33	4	23	1	3	12	4	0	0	0	0	0	0	0	24	2	1	2	9	0	0	3
库蒂尼奥	21	利物浦	23	中场	13	12	932	3	5	434	37	20	7	8	0	0	36	11	0.083333333	0	0	3	0	0	0	12	10	3	1	2	0	0	5
谢尔维	21	利物浦	33	中场	19	9	917	1	0	476	11	22	6	14	1	3	35	15	0.028571429	0	1	0	0	0	0	6	11	1	4	9	0	0	0
卡萨米	21	富勒姆	10	中场	2	0	22	0	0	17	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
巴克利	20	埃弗顿	20	中场	7	2	206	0	0	101	8	9	0	2	0	2	7	2	0	0	0	0	0	0	0	4	5	5	4	9	0	0	6
